Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
IL3_CSF2RB	IL3	interleukin 3 (colony-stimulating factor, multiple)	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	IL3	CSF2RB		known	literature supported
IL3_IL3RA	IL3	interleukin 3 (colony-stimulating factor, multiple)	IL3RA	interleukin 3 receptor, alpha (low affinity)	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	IL3	IL3RA		known	literature supported
IL4_CD53	IL4	interleukin 4	CD53	CD53 molecule				HPRD			IL4	CD53		novel	literature supported
IL4_IL13RA1	IL4	interleukin 4	IL13RA1	interleukin 13 receptor, alpha 1	DLRP				STRING.binding	STRING.experiment	IL4	IL13RA1	10641437	known	literature supported
IL4_IL13RA2	IL4	interleukin 4	IL13RA2	interleukin 13 receptor, alpha 2				HPRD			IL4	IL13RA2		novel	literature supported
IL4_IL2RG	IL4	interleukin 4	IL2RG	interleukin 2 receptor, gamma	DLRP	HPMR		HPRD			IL4	IL2RG		known	literature supported
IL4_IL4R	IL4	interleukin 4	IL4R	interleukin 4 receptor	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	IL4	IL4R		known	literature supported
IL5_CSF2RB	IL5	interleukin 5 (colony-stimulating factor, eosinophil)	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	DLRP	HPMR			STRING.binding	STRING.experiment	IL5	CSF2RB		known	literature supported
IL5_IL5RA	IL5	interleukin 5 (colony-stimulating factor, eosinophil)	IL5RA	interleukin 5 receptor, alpha	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	IL5	IL5RA		known	literature supported
IL6_F3	IL6	interleukin 6 (interferon, beta 2)	F3	coagulation factor III (thromboplastin, tissue factor)					STRING.binding		IL6	F3		novel	putative
IL6_IL6R	IL6	interleukin 6 (interferon, beta 2)	IL6R	interleukin 6 receptor	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	IL6	IL6R		known	literature supported
IL6_IL6ST	IL6	interleukin 6 (interferon, beta 2)	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	IL6	IL6ST		known	literature supported
IL7_IL2RG	IL7	interleukin 7	IL2RG	interleukin 2 receptor, gamma	DLRP	HPMR		HPRD			IL7	IL2RG		known	literature supported
IL7_IL7R	IL7	interleukin 7	IL7R	interleukin 7 receptor	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	IL7	IL7R		known	literature supported
IL8_CD79A	IL8	interleukin 8	CD79A	CD79a molecule, immunoglobulin-associated alpha					STRING.binding		IL8			novel	putative
IL8_CXCR1	IL8	interleukin 8	CXCR1	chemokine (C-X-C motif) receptor 1	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	IL8	IL8RA		known	literature supported
IL8_CXCR2	IL8	interleukin 8	CXCR2	chemokine (C-X-C motif) receptor 2	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	IL8	IL8RB		known	literature supported
IL8_DARC	IL8	interleukin 8	DARC	Duffy blood group, atypical chemokine receptor	DLRP			HPRD	STRING.binding	STRING.experiment	IL8	DARC		known	literature supported
IL8_KDR	IL8	interleukin 8	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)					STRING.binding		IL8	KDR		novel	putative
IL8_SDC1	IL8	interleukin 8	SDC1	syndecan 1				HPRD	STRING.binding		IL8	SDC1		novel	literature supported
IL8_SDC2	IL8	interleukin 8	SDC2	syndecan 2					STRING.binding		IL8	SDC2	14527339	novel	literature supported
IL8_SDC3	IL8	interleukin 8	SDC3	syndecan 3					STRING.binding		IL8	SDC3		novel	putative
IL9_IL2RG	IL9	interleukin 9	IL2RG	interleukin 2 receptor, gamma	DLRP	HPMR					IL9	IL2RG		known	literature supported
IL9_IL9R	IL9	interleukin 9	IL9R	interleukin 9 receptor	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	IL9	IL9R		known	literature supported
INHA_ACVR1	INHA	inhibin, alpha	ACVR1	activin A receptor, type I	DLRP						INHA	ACVR1		known	putative
INHA_ACVR1B	INHA	inhibin, alpha	ACVR1B	activin A receptor, type IB	DLRP						INHA	ACVR1B		known	putative
INHA_ACVR2A	INHA	inhibin, alpha	ACVR2A	activin A receptor, type IIA	DLRP	HPMR			STRING.binding		INHA	ACVR2A		known	literature supported
INHA_ACVR2B	INHA	inhibin, alpha	ACVR2B	activin A receptor, type IIB	DLRP						INHA	ACVR2B		known	putative
INHA_TGFBR3	INHA	inhibin, alpha	TGFBR3	transforming growth factor, beta receptor III		HPMR		HPRD	STRING.binding		INHA	TGFBR3		known	literature supported
INHBA_ACVR1	INHBA	inhibin, beta A	ACVR1	activin A receptor, type I	DLRP			HPRD			INHBA	ACVR1		known	literature supported
INHBA_ACVR1B	INHBA	inhibin, beta A	ACVR1B	activin A receptor, type IB	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	INHBA	ACVR1B		known	literature supported
INHBA_ACVR2A	INHBA	inhibin, beta A	ACVR2A	activin A receptor, type IIA	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	INHBA	ACVR2A		known	literature supported
INHBA_ACVR2B	INHBA	inhibin, beta A	ACVR2B	activin A receptor, type IIB	DLRP			HPRD	STRING.binding	STRING.experiment	INHBA	ACVR2B		known	literature supported
INHBA_BAMBI	INHBA	inhibin, beta A	BAMBI	BMP and activin membrane-bound inhibitor		HPMR					INHBA	BAMBI		known	literature supported
INHBA_ENG	INHBA	inhibin, beta A	ENG	endoglin				HPRD			INHBA	ENG		novel	literature supported
INHBA_TGFBR3	INHBA	inhibin, beta A	TGFBR3	transforming growth factor, beta receptor III				HPRD			INHBA	TGFBR3		novel	literature supported
INHBB_ACVR1	INHBB	inhibin, beta B	ACVR1	activin A receptor, type I	DLRP			HPRD			INHBB	ACVR1		known	literature supported
INHBB_ACVR1B	INHBB	inhibin, beta B	ACVR1B	activin A receptor, type IB	DLRP			HPRD	STRING.binding	STRING.experiment	INHBB	ACVR1B		known	literature supported
INHBB_ACVR1C	INHBB	inhibin, beta B	ACVR1C	activin A receptor, type IC				HPRD			INHBB	ACVR1C		novel	literature supported
INHBB_ACVR2A	INHBB	inhibin, beta B	ACVR2A	activin A receptor, type IIA	DLRP	HPMR		HPRD		STRING.experiment	INHBB	ACVR2A		known	literature supported
INHBB_ACVR2B	INHBB	inhibin, beta B	ACVR2B	activin A receptor, type IIB	DLRP			HPRD			INHBB	ACVR2B		known	literature supported
INHBC_ACVR1	INHBC	inhibin, beta C	ACVR1	activin A receptor, type I	DLRP			HPRD			INHBC	ACVR1		known	literature supported
INHBC_ACVR1B	INHBC	inhibin, beta C	ACVR1B	activin A receptor, type IB	DLRP			HPRD			INHBC	ACVR1B		known	literature supported
INHBC_ACVR2A	INHBC	inhibin, beta C	ACVR2A	activin A receptor, type IIA	DLRP			HPRD			INHBC	ACVR2A		known	literature supported
INHBC_ACVR2B	INHBC	inhibin, beta C	ACVR2B	activin A receptor, type IIB	DLRP			HPRD			INHBC	ACVR2B		known	literature supported
INHBE_ACVR1	INHBE	inhibin, beta E	ACVR1	activin A receptor, type I					STRING.binding			ACVR1		novel	putative
INHBE_ACVR1B	INHBE	inhibin, beta E	ACVR1B	activin A receptor, type IB					STRING.binding			ACVR1B		novel	putative
INHBE_ACVR2A	INHBE	inhibin, beta E	ACVR2A	activin A receptor, type IIA					STRING.binding			ACVR2A		novel	putative
INHBE_ENG	INHBE	inhibin, beta E	ENG	endoglin					STRING.binding			ENG		novel	putative
INSL3_RXFP2	INSL3	insulin-like 3 (Leydig cell)	RXFP2	relaxin/insulin-like family peptide receptor 2		HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	INSL3	RXFP2		known	literature supported
INSL5_RXFP3	INSL5	insulin-like 5	RXFP3	relaxin/insulin-like family peptide receptor 3			IUPHAR				INSL5	RXFP3		known	literature supported
INSL5_RXFP4	INSL5	insulin-like 5	RXFP4	relaxin/insulin-like family peptide receptor 4		HPMR	IUPHAR				INSL5	RXFP4		known	literature supported
INS_IGF1R	INS	insulin	IGF1R	insulin-like growth factor 1 receptor				HPRD			INS	IGF1R		novel	literature supported
INS_INSR	INS	insulin	INSR	insulin receptor	DLRP	HPMR	IUPHAR	HPRD			INS	INSR		known	literature supported
INS_LRP2	INS	insulin	LRP2	low density lipoprotein receptor-related protein 2				HPRD			INS	LRP2		novel	literature supported
ITGB3BP_ITGB3	ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)				HPRD			ITGB3BP	ITGB3		novel	literature supported
ITGB3BP_ITGB5	ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	ITGB5	integrin, beta 5				HPRD			ITGB3BP	ITGB5		novel	literature supported
ITIH2_FCER1A	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide				HPRD						novel	literature supported
JAG1_NOTCH1	JAG1	jagged 1	NOTCH1	notch 1	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	JAG1	NOTCH1		known	literature supported
JAG1_NOTCH2	JAG1	jagged 1	NOTCH2	notch 2	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	JAG1	NOTCH2		known	literature supported
JAG1_NOTCH3	JAG1	jagged 1	NOTCH3	notch 3	DLRP	HPMR		HPRD	STRING.binding	STRING.experiment	JAG1	NOTCH3		known	literature supported
JAG1_NOTCH4	JAG1	jagged 1	NOTCH4	notch 4	DLRP				STRING.binding		JAG1	NOTCH4	24563863	known	literature supported
JAG2_NOTCH1	JAG2	jagged 2	NOTCH1	notch 1	DLRP	HPMR		HPRD	STRING.binding		JAG2	NOTCH1		known	literature supported
JAG2_NOTCH2	JAG2	jagged 2	NOTCH2	notch 2	DLRP			HPRD	STRING.binding		JAG2	NOTCH2		known	literature supported
JAG2_NOTCH3	JAG2	jagged 2	NOTCH3	notch 3	DLRP	HPMR		HPRD	STRING.binding		JAG2	NOTCH3		known	literature supported
JAG2_NOTCH4	JAG2	jagged 2	NOTCH4	notch 4	DLRP						JAG2	NOTCH4		known	putative
KAL1_FGFR1	KAL1	Kallmann syndrome 1 sequence	FGFR1	fibroblast growth factor receptor 1					STRING.binding		KAL1	FGFR1	19696444	novel	literature supported
KAL1_SDC2	KAL1	Kallmann syndrome 1 sequence	SDC2	syndecan 2				HPRD	STRING.binding		KAL1	SDC2		novel	literature supported
KISS1_KISS1R	KISS1	KiSS-1 metastasis-suppressor	KISS1R	KISS1 receptor		HPMR	IUPHAR	HPRD	STRING.binding		KISS1	KISS1R		known	literature supported
KISS1_MMP24	KISS1	KiSS-1 metastasis-suppressor	MMP24	matrix metallopeptidase 24 (membrane-inserted)				HPRD			KISS1			novel	literature supported
KITLG_EPOR	KITLG	KIT ligand	EPOR	erythropoietin receptor				HPRD	STRING.binding		KITLG	EPOR		novel	literature supported
KITLG_KIT	KITLG	KIT ligand	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog		HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	KITLG	KIT		known	literature supported
KLK3_EPOR	KLK3	kallikrein-related peptidase 3	EPOR	erythropoietin receptor				HPRD				EPOR		novel	literature supported
KNG1_BDKRB1	KNG1	kininogen 1	BDKRB1	bradykinin receptor B1		HPMR	IUPHAR		STRING.binding		KNG1	BDKRB1		known	literature supported
KNG1_BDKRB2	KNG1	kininogen 1	BDKRB2	bradykinin receptor B2		HPMR	IUPHAR		STRING.binding		KNG1	BDKRB2		known	literature supported
KNG1_CD93	KNG1	kininogen 1	CD93	CD93 molecule				HPRD		STRING.experiment	KNG1	CD93		novel	literature supported
KNG1_GP1BA	KNG1	kininogen 1	GP1BA	glycoprotein Ib (platelet), alpha polypeptide				HPRD			KNG1			novel	literature supported
KNG1_GPR135	KNG1	kininogen 1	GPR135	G protein-coupled receptor 135		HPMR					KNG1	GPR135		known	literature supported
KNG1_ITGAM	KNG1	kininogen 1	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)					STRING.binding		KNG1	ITGAM		novel	putative
KNG1_ITGB2	KNG1	kininogen 1	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)				HPRD	STRING.binding		KNG1	ITGB2		novel	literature supported
KNG1_PLAUR	KNG1	kininogen 1	PLAUR	plasminogen activator, urokinase receptor				HPRD			KNG1	PLAUR		novel	literature supported
KNG1_RXFP4	KNG1	kininogen 1	RXFP4	relaxin/insulin-like family peptide receptor 4				HPRD			KNG1	RXFP4		novel	literature supported
KNG1_SDC2	KNG1	kininogen 1	SDC2	syndecan 2					STRING.binding		KNG1	SDC2		novel	putative
KRTAP4-12_AQP1	KRTAP4-12	keratin associated protein 4-12	AQP1	aquaporin 1 (Colton blood group)				HPRD						novel	literature supported
KRTAP4-12_CATSPER1	KRTAP4-12	keratin associated protein 4-12	CATSPER1	cation channel, sperm associated 1				HPRD						novel	literature supported
KRTAP4-12_CLDN2	KRTAP4-12	keratin associated protein 4-12	CLDN2	claudin 2				HPRD						novel	literature supported
KRTAP4-12_CNTFR	KRTAP4-12	keratin associated protein 4-12	CNTFR	ciliary neurotrophic factor receptor				HPRD				CNTFR		novel	literature supported
KRTAP4-12_DLK2	KRTAP4-12		DLK2					HPRD						novel	EXCLUDED
KRTAP4-12_LINGO1	KRTAP4-12	keratin associated protein 4-12	LINGO1	leucine rich repeat and Ig domain containing 1				HPRD				LRRN6A		novel	literature supported
KRTAP4-12_PDGFRB	KRTAP4-12	keratin associated protein 4-12	PDGFRB	platelet-derived growth factor receptor, beta polypeptide				HPRD				PDGFRB		novel	literature supported
KRTAP4-12_PLSCR4	KRTAP4-12	keratin associated protein 4-12	PLSCR4	phospholipid scramblase 4				HPRD						novel	literature supported
L1CAM_CNTN1	L1CAM	L1 cell adhesion molecule	CNTN1	contactin 1				HPRD	STRING.binding		L1CAM	CNTN1		novel	literature supported
L1CAM_EGFR	L1CAM	L1 cell adhesion molecule	EGFR	epidermal growth factor receptor					STRING.binding		L1CAM	EGFR	14718570	novel	literature supported
L1CAM_EPHB2	L1CAM	L1 cell adhesion molecule	EPHB2	EPH receptor B2					STRING.binding		L1CAM	EPHB2		novel	putative
L1CAM_ERBB2	L1CAM	L1 cell adhesion molecule	ERBB2	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2					STRING.binding		L1CAM	ERBB2	22815787	novel	literature supported
L1CAM_ERBB3	L1CAM	L1 cell adhesion molecule	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3					STRING.binding		L1CAM	ERBB3	22815787	novel	literature supported
L1CAM_FGFR2	L1CAM	L1 cell adhesion molecule	FGFR2	fibroblast growth factor receptor 2					STRING.binding		L1CAM	FGFR2		novel	putative
L1CAM_ITGA5	L1CAM	L1 cell adhesion molecule	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)				HPRD			L1CAM	ITGA5		novel	literature supported
L1CAM_ITGAV	L1CAM	L1 cell adhesion molecule	ITGAV	integrin, alpha V				HPRD	STRING.binding		L1CAM	ITGAV		novel	literature supported
LACRT_SDC1	LACRT	lacritin	SDC1	syndecan 1				HPRD	STRING.binding			SDC1		novel	literature supported
LAMA1_GPC1	LAMA1	laminin, alpha 1	GPC1	glypican 1					STRING.binding		LAMA1	GPC1		novel	putative
LAMA1_ITGA1	LAMA1	laminin, alpha 1	ITGA1	integrin, alpha 1				HPRD	STRING.binding		LAMA1	ITGA1		novel	literature supported
LAMA1_ITGA2	LAMA1	laminin, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)				HPRD	STRING.binding		LAMA1	ITGA2		novel	literature supported
LAMA1_ITGA3	LAMA1	laminin, alpha 1	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMA1	ITGA3		novel	putative
LAMA1_ITGA6	LAMA1	laminin, alpha 1	ITGA6	integrin, alpha 6					STRING.binding		LAMA1	ITGA6		novel	putative
LAMA1_ITGA7	LAMA1	laminin, alpha 1	ITGA7	integrin, alpha 7		HPMR			STRING.binding		LAMA1	ITGA7		known	literature supported
LAMA1_ITGB1	LAMA1	laminin, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR		HPRD	STRING.binding		LAMA1	ITGB1		known	literature supported
LAMA1_ITGB4	LAMA1	laminin, alpha 1	ITGB4	integrin, beta 4					STRING.binding		LAMA1	ITGB4		novel	putative
LAMA1_ITGB8	LAMA1	laminin, alpha 1	ITGB8	integrin, beta 8		HPMR					LAMA1	ITGB8		known	literature supported
LAMA1_NT5E	LAMA1	laminin, alpha 1	NT5E	5'-nucleotidase, ecto (CD73)				HPRD			LAMA1			novel	literature supported
LAMA1_RPSA	LAMA1	laminin, alpha 1	RPSA	ribosomal protein SA		HPMR					LAMA1	RPSA		known	literature supported
LAMA1_SDC2	LAMA1	laminin, alpha 1	SDC2	syndecan 2					STRING.binding		LAMA1	SDC2		novel	putative
LAMA1_SDC4	LAMA1	laminin, alpha 1	SDC4	syndecan 4					STRING.binding		LAMA1	SDC4		novel	putative
LAMA1_TMPRSS6	LAMA1	laminin, alpha 1	TMPRSS6	transmembrane protease, serine 6				HPRD			LAMA1			novel	literature supported
LAMA2_ITGA1	LAMA2	laminin, alpha 2	ITGA1	integrin, alpha 1					STRING.binding		LAMA2	ITGA1		novel	putative
LAMA2_ITGA2	LAMA2	laminin, alpha 2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding		LAMA2	ITGA2		novel	putative
LAMA2_ITGA3	LAMA2	laminin, alpha 2	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMA2	ITGA3		novel	putative
LAMA2_ITGA6	LAMA2	laminin, alpha 2	ITGA6	integrin, alpha 6					STRING.binding		LAMA2	ITGA6		novel	putative
LAMA2_ITGA7	LAMA2	laminin, alpha 2	ITGA7	integrin, alpha 7		HPMR			STRING.binding		LAMA2	ITGA7		known	literature supported
LAMA2_ITGB1	LAMA2	laminin, alpha 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR			STRING.binding		LAMA2	ITGB1		known	literature supported
LAMA2_ITGB4	LAMA2	laminin, alpha 2	ITGB4	integrin, beta 4					STRING.binding		LAMA2	ITGB4		novel	putative
LAMA2_RPSA	LAMA2	laminin, alpha 2	RPSA	ribosomal protein SA		HPMR		HPRD			LAMA2	RPSA		known	literature supported
LAMA3_SDC2	LAMA3	laminin, alpha 3	SDC2	syndecan 2				HPRD			LAMA3	SDC2		novel	literature supported
LAMA4_ITGA3	LAMA4	laminin, alpha 4	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMA4	ITGA3		novel	putative
LAMA4_ITGA6	LAMA4	laminin, alpha 4	ITGA6	integrin, alpha 6					STRING.binding		LAMA4	ITGA6		novel	putative
LAMA4_ITGAV	LAMA4	laminin, alpha 4	ITGAV	integrin, alpha V					STRING.binding		LAMA4	ITGAV		novel	putative
LAMA4_ITGB1	LAMA4	laminin, alpha 4	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding		LAMA4	ITGB1		novel	putative
LAMA5_BCAM	LAMA5	laminin, alpha 5	BCAM	basal cell adhesion molecule (Lutheran blood group)				HPRD	STRING.binding	STRING.experiment	LAMA5			novel	literature supported
LAMA5_ITGA2	LAMA5	laminin, alpha 5	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding		LAMA5	ITGA2		novel	putative
LAMA5_ITGA3	LAMA5	laminin, alpha 5	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMA5	ITGA3		novel	putative
LAMA5_ITGA6	LAMA5	laminin, alpha 5	ITGA6	integrin, alpha 6					STRING.binding		LAMA5	ITGA6		novel	putative
LAMA5_ITGB1	LAMA5	laminin, alpha 5	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding		LAMA5	ITGB1		novel	putative
LAMA5_ITGB4	LAMA5	laminin, alpha 5	ITGB4	integrin, beta 4					STRING.binding		LAMA5	ITGB4		novel	putative
LAMA5_SDC1	LAMA5	laminin, alpha 5	SDC1	syndecan 1					STRING.binding		LAMA5	SDC1		novel	putative
LAMB1_ITGA1	LAMB1	laminin, beta 1	ITGA1	integrin, alpha 1					STRING.binding		LAMB1	ITGA1		novel	putative
LAMB1_ITGA2	LAMB1	laminin, beta 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding		LAMB1	ITGA2		novel	putative
LAMB1_ITGA3	LAMB1	laminin, beta 1	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMB1	ITGA3		novel	putative
LAMB1_ITGA6	LAMB1	laminin, beta 1	ITGA6	integrin, alpha 6		HPMR			STRING.binding		LAMB1	ITGA6		known	literature supported
LAMB1_ITGA7	LAMB1	laminin, beta 1	ITGA7	integrin, alpha 7					STRING.binding		LAMB1	ITGA7		novel	putative
LAMB1_ITGAV	LAMB1	laminin, beta 1	ITGAV	integrin, alpha V					STRING.binding		LAMB1	ITGAV		novel	putative
LAMB1_ITGB1	LAMB1	laminin, beta 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR			STRING.binding		LAMB1	ITGB1		known	literature supported
LAMB1_ITGB4	LAMB1	laminin, beta 1	ITGB4	integrin, beta 4					STRING.binding		LAMB1	ITGB4		novel	putative
LAMB2_RPSA	LAMB2	laminin, beta 2 (laminin S)	RPSA	ribosomal protein SA		HPMR					LAMB2	RPSA		known	literature supported
LAMB3_CD151	LAMB3	laminin, beta 3	CD151	CD151 molecule (Raph blood group)					STRING.binding		LAMB3	CD151		novel	putative
LAMB3_COL17A1	LAMB3	laminin, beta 3	COL17A1	collagen, type XVII, alpha 1					STRING.binding		LAMB3			novel	putative
LAMB3_ITGA2	LAMB3	laminin, beta 3	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding		LAMB3	ITGA2		novel	putative
LAMB3_ITGA3	LAMB3	laminin, beta 3	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMB3	ITGA3		novel	putative
LAMB3_ITGA6	LAMB3	laminin, beta 3	ITGA6	integrin, alpha 6					STRING.binding		LAMB3	ITGA6		novel	putative
LAMB3_ITGB1	LAMB3	laminin, beta 3	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding		LAMB3	ITGB1		novel	putative
LAMB3_ITGB4	LAMB3	laminin, beta 3	ITGB4	integrin, beta 4					STRING.binding		LAMB3	ITGB4		novel	putative
LAMC1_ITGA1	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGA1	integrin, alpha 1					STRING.binding			ITGA1		novel	putative
LAMC1_ITGA2	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding			ITGA2		novel	putative
LAMC1_ITGA3	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding			ITGA3		novel	putative
LAMC1_ITGA6	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGA6	integrin, alpha 6					STRING.binding			ITGA6		novel	putative
LAMC1_ITGA7	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGA7	integrin, alpha 7					STRING.binding			ITGA7		novel	putative
LAMC1_ITGAV	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGAV	integrin, alpha V					STRING.binding			ITGAV		novel	putative
LAMC1_ITGB1	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding			ITGB1		novel	putative
LAMC1_ITGB4	LAMC1	laminin, gamma 1 (formerly LAMB2)	ITGB4	integrin, beta 4					STRING.binding			ITGB4		novel	putative
LAMC2_CD151	LAMC2	laminin, gamma 2	CD151	CD151 molecule (Raph blood group)					STRING.binding		LAMC2	CD151		novel	putative
LAMC2_COL17A1	LAMC2	laminin, gamma 2	COL17A1	collagen, type XVII, alpha 1					STRING.binding		LAMC2			novel	putative
LAMC2_ITGA2	LAMC2	laminin, gamma 2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding		LAMC2	ITGA2		novel	putative
LAMC2_ITGA3	LAMC2	laminin, gamma 2	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)		HPMR			STRING.binding		LAMC2	ITGA3		known	literature supported
LAMC2_ITGA6	LAMC2	laminin, gamma 2	ITGA6	integrin, alpha 6		HPMR			STRING.binding		LAMC2	ITGA6		known	literature supported
LAMC2_ITGB1	LAMC2	laminin, gamma 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)		HPMR			STRING.binding		LAMC2	ITGB1		known	literature supported
LAMC2_ITGB4	LAMC2	laminin, gamma 2	ITGB4	integrin, beta 4		HPMR			STRING.binding		LAMC2	ITGB4		known	literature supported
LAMC3_ITGA2	LAMC3	laminin, gamma 3	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)					STRING.binding		LAMC3	ITGA2		novel	putative
LAMC3_ITGA3	LAMC3	laminin, gamma 3	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)					STRING.binding		LAMC3	ITGA3		novel	putative
LAMC3_ITGA6	LAMC3	laminin, gamma 3	ITGA6	integrin, alpha 6					STRING.binding		LAMC3	ITGA6		novel	putative
LAMC3_ITGB1	LAMC3	laminin, gamma 3	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)					STRING.binding		LAMC3	ITGB1		novel	putative
LAMC3_ITGB4	LAMC3	laminin, gamma 3	ITGB4	integrin, beta 4					STRING.binding		LAMC3	ITGB4		novel	putative
LCN1_LMBR1L	LCN1	lipocalin 1	LMBR1L	limb development membrane protein 1-like				HPRD						novel	literature supported
LCN2_LRP2	LCN2	lipocalin 2	LRP2	low density lipoprotein receptor-related protein 2				HPRD	STRING.binding			LRP2		novel	literature supported
LEFTY2_ACVR2B	LEFTY2	left-right determination factor 2	ACVR2B	activin A receptor, type IIB		HPMR					LEFTY2	ACVR2B		known	literature supported
LEP_LEPR	LEP	leptin	LEPR	leptin receptor	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	LEP	LEPR		known	literature supported
LEP_LRP2	LEP	leptin	LRP2	low density lipoprotein receptor-related protein 2					STRING.binding		LEP	LRP2		novel	putative
