"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","Classification"
"1244","HGF_SDC2","HGF","hepatocyte growth factor (hepapoietin A; scatter factor)","SDC2","syndecan 2","growth factor"
"1245","HGF_ST14","HGF","hepatocyte growth factor (hepapoietin A; scatter factor)","ST14","suppression of tumorigenicity 14 (colon carcinoma)","growth factor"
"1246","HHIPL2_CACHD1","HHIPL2","HHIP-like 2","CACHD1","cache domain containing 1","other"
"1247","HHLA3_CHRM3","HHLA3","HERV-H LTR-associating 3","CHRM3","cholinergic receptor, muscarinic 3","other"
"1248","HLA-A_APLP2","HLA-A","major histocompatibility complex, class I, A","APLP2","amyloid beta (A4) precursor-like protein 2","other"
"1249","HLA-A_CD3D","HLA-A","major histocompatibility complex, class I, A","CD3D","CD3d molecule, delta (CD3-TCR complex)","other"
"1250","HLA-A_CD3G","HLA-A","major histocompatibility complex, class I, A","CD3G","CD3g molecule, gamma (CD3-TCR complex)","other"
"1251","HLA-A_ERBB2","HLA-A","major histocompatibility complex, class I, A","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2","other"
"1252","HLA-A_KIR2DL1","HLA-A","major histocompatibility complex, class I, A","KIR2DL1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1","other"
"1253","HLA-A_KIR2DL3","HLA-A","major histocompatibility complex, class I, A","KIR2DL3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","other"
"1254","HLA-A_KIR3DL1","HLA-A","major histocompatibility complex, class I, A","KIR3DL1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","other"
"1255","HLA-A_KIR3DL2","HLA-A","major histocompatibility complex, class I, A","KIR3DL2","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2","other"
"1256","HLA-A_LILRB1","HLA-A","major histocompatibility complex, class I, A","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","other"
"1257","HLA-A_LILRB2","HLA-A","major histocompatibility complex, class I, A","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","other"
"1258","HLA-B_CANX","HLA-B","major histocompatibility complex, class I, B","CANX","calnexin","other"
"1259","HLA-B_CD3D","HLA-B","major histocompatibility complex, class I, B","CD3D","CD3d molecule, delta (CD3-TCR complex)","other"
"1260","HLA-B_CD3G","HLA-B","major histocompatibility complex, class I, B","CD3G","CD3g molecule, gamma (CD3-TCR complex)","other"
"1261","HLA-B_KIR2DL3","HLA-B","major histocompatibility complex, class I, B","KIR2DL3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","other"
"1262","HLA-B_KIR3DL1","HLA-B","major histocompatibility complex, class I, B","KIR3DL1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","other"
"1263","HLA-B_KLRD1","HLA-B","major histocompatibility complex, class I, B","KLRD1","killer cell lectin-like receptor subfamily D, member 1","other"
"1264","HLA-B_LILRB1","HLA-B","major histocompatibility complex, class I, B","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","other"
"1265","HLA-B_LILRB2","HLA-B","major histocompatibility complex, class I, B","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","other"
"1266","HLA-C_CD3D","HLA-C","major histocompatibility complex, class I, C","CD3D","CD3d molecule, delta (CD3-TCR complex)","other"
"1267","HLA-C_CD3G","HLA-C","major histocompatibility complex, class I, C","CD3G","CD3g molecule, gamma (CD3-TCR complex)","other"
"1268","HLA-C_DDR1","HLA-C","major histocompatibility complex, class I, C","DDR1","discoidin domain receptor tyrosine kinase 1","other"
"1269","HLA-C_KIR2DL1","HLA-C","major histocompatibility complex, class I, C","KIR2DL1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1","other"
"1270","HLA-C_KIR2DL3","HLA-C","major histocompatibility complex, class I, C","KIR2DL3","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3","other"
"1271","HLA-C_KIR2DS4","HLA-C","major histocompatibility complex, class I, C","KIR2DS4","killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4","other"
"1272","HLA-C_KIR3DL1","HLA-C","major histocompatibility complex, class I, C","KIR3DL1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","other"
"1273","HLA-C_LILRA3","HLA-C","major histocompatibility complex, class I, C","LILRA3","leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3","other"
"1274","HLA-C_LILRB1","HLA-C","major histocompatibility complex, class I, C","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","other"
"1275","HLA-C_LILRB2","HLA-C","major histocompatibility complex, class I, C","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","other"
"1276","HLA-C_NOTCH4","HLA-C","major histocompatibility complex, class I, C","NOTCH4","notch 4","other"
"1277","HLA-C_SLC9C2","HLA-C","major histocompatibility complex, class I, C","SLC9C2","solute carrier family 9, member C2 (putative)","other"
"1278","HLA-E_KIR3DL1","HLA-E","major histocompatibility complex, class I, E","KIR3DL1","killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1","other"
"1279","HLA-E_KLRC1","HLA-E","major histocompatibility complex, class I, E","KLRC1","killer cell lectin-like receptor subfamily C, member 1","other"
"1280","HLA-E_KLRC2","HLA-E","major histocompatibility complex, class I, E","KLRC2","killer cell lectin-like receptor subfamily C, member 2","other"
"1281","HLA-E_KLRD1","HLA-E","major histocompatibility complex, class I, E","KLRD1","killer cell lectin-like receptor subfamily D, member 1","other"
"1282","HLA-E_SLC16A4","HLA-E","major histocompatibility complex, class I, E","SLC16A4","solute carrier family 16, member 4","other"
"1283","HLA-G_CD4","HLA-G","major histocompatibility complex, class I, G","CD4","CD4 molecule","other"
"1284","HLA-G_KIR2DL4","HLA-G","major histocompatibility complex, class I, G","KIR2DL4","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4","other"
"1285","HLA-G_KLRC1","HLA-G","major histocompatibility complex, class I, G","KLRC1","killer cell lectin-like receptor subfamily C, member 1","other"
"1286","HLA-G_KLRD1","HLA-G","major histocompatibility complex, class I, G","KLRD1","killer cell lectin-like receptor subfamily D, member 1","other"
"1287","HLA-G_LILRB1","HLA-G","major histocompatibility complex, class I, G","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","other"
"1288","HLA-G_LILRB2","HLA-G","major histocompatibility complex, class I, G","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","other"
"1289","HMGB1_SDC1","HMGB1","high mobility group box 1","SDC1","syndecan 1","other"
"1290","HMGB1_THBD","HMGB1","high mobility group box 1","THBD","thrombomodulin","other"
"1291","HP_ASGR1","HP","haptoglobin","ASGR1","asialoglycoprotein receptor 1","other"
"1292","HP_ASGR2","HP","haptoglobin","ASGR2","asialoglycoprotein receptor 2","other"
"1293","HP_ITGAM","HP","haptoglobin","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1294","HP_ITGB2","HP","haptoglobin","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1295","HRAS_AGTR1","HRAS","Harvey rat sarcoma viral oncogene homolog","AGTR1","angiotensin II receptor, type 1","other"
"1296","HRAS_CAV1","HRAS","Harvey rat sarcoma viral oncogene homolog","CAV1","caveolin 1, caveolae protein, 22kDa","other"
"1297","HRAS_GRIN2D","HRAS","Harvey rat sarcoma viral oncogene homolog","GRIN2D","glutamate receptor, ionotropic, N-methyl D-aspartate 2D","other"
"1298","HRAS_INSR","HRAS","Harvey rat sarcoma viral oncogene homolog","INSR","insulin receptor","other"
"1299","HRAS_SDC2","HRAS","Harvey rat sarcoma viral oncogene homolog","SDC2","syndecan 2","other"
"1300","HRAS_TLR2","HRAS","Harvey rat sarcoma viral oncogene homolog","TLR2","toll-like receptor 2","other"
"1301","HRAS_TLR9","HRAS","Harvey rat sarcoma viral oncogene homolog","TLR9","toll-like receptor 9","other"
"1302","HRG_FCGR1A","HRG","histidine-rich glycoprotein","FCGR1A","Fc fragment of IgG, high affinity Ia, receptor (CD64)","other"
"1303","HSP90AA1_CFTR","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","other"
"1304","HSP90AA1_EGFR","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","EGFR","epidermal growth factor receptor","other"
"1305","HSP90AA1_FGFR3","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","FGFR3","fibroblast growth factor receptor 3","other"
"1306","HSP90B1_ASGR1","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","ASGR1","asialoglycoprotein receptor 1","other"
"1307","HSP90B1_ERBB2","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2","other"
"1308","HSP90B1_LRP1","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","LRP1","low density lipoprotein receptor-related protein 1","other"
"1309","HSP90B1_TLR1","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","TLR1","toll-like receptor 1","other"
"1310","HSP90B1_TLR2","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","TLR2","toll-like receptor 2","other"
"1311","HSP90B1_TLR4","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","TLR4","toll-like receptor 4","other"
"1312","HSP90B1_TLR7","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","TLR7","toll-like receptor 7","other"
"1313","HSP90B1_TLR9","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1","TLR9","toll-like receptor 9","other"
"1314","HSPA1A_GRIN2D","HSPA1A","heat shock 70kDa protein 1A","GRIN2D","glutamate receptor, ionotropic, N-methyl D-aspartate 2D","other"
"1315","HSPA1A_TLR4","HSPA1A","heat shock 70kDa protein 1A","TLR4","toll-like receptor 4","other"
"1316","HSPG2_CHRM3","HSPG2","heparan sulfate proteoglycan 2","CHRM3","cholinergic receptor, muscarinic 3","other"
"1317","HSPG2_COL13A1","HSPG2","heparan sulfate proteoglycan 2","COL13A1","collagen, type XIII, alpha 1","other"
"1318","HSPG2_ITGA2","HSPG2","heparan sulfate proteoglycan 2","ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","other"
"1319","HSPG2_ITGB1","HSPG2","heparan sulfate proteoglycan 2","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"1320","HSPG2_PTPRS","HSPG2","heparan sulfate proteoglycan 2","PTPRS","protein tyrosine phosphatase, receptor type, S","other"
"1321","HSPG2_SDC1","HSPG2","heparan sulfate proteoglycan 2","SDC1","syndecan 1","other"
"1322","IAPP_CALCR","IAPP","islet amyloid polypeptide","CALCR","calcitonin receptor","other"
"1323","IAPP_RAMP1","IAPP","islet amyloid polypeptide","RAMP1","receptor (G protein-coupled) activity modifying protein 1","other"
"1324","IAPP_RAMP2","IAPP","islet amyloid polypeptide","RAMP2","receptor (G protein-coupled) activity modifying protein 2","other"
"1325","IAPP_RAMP3","IAPP","islet amyloid polypeptide","RAMP3","receptor (G protein-coupled) activity modifying protein 3","other"
"1326","IBSP_ITGAV","IBSP","integrin-binding sialoprotein","ITGAV","integrin, alpha V","other"
"1327","ICAM1_CAV1","ICAM1","intercellular adhesion molecule 1","CAV1","caveolin 1, caveolae protein, 22kDa","other"
"1328","ICAM1_EGFR","ICAM1","intercellular adhesion molecule 1","EGFR","epidermal growth factor receptor","other"
"1329","ICAM1_IL2RA","ICAM1","intercellular adhesion molecule 1","IL2RA","interleukin 2 receptor, alpha","other"
"1330","ICAM1_IL2RG","ICAM1","intercellular adhesion molecule 1","IL2RG","interleukin 2 receptor, gamma","other"
"1331","ICAM1_ITGAL","ICAM1","intercellular adhesion molecule 1","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","other"
"1332","ICAM1_ITGAM","ICAM1","intercellular adhesion molecule 1","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1333","ICAM1_ITGAX","ICAM1","intercellular adhesion molecule 1","ITGAX","integrin, alpha X (complement component 3 receptor 4 subunit)","other"
"1334","ICAM1_ITGB2","ICAM1","intercellular adhesion molecule 1","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1335","ICAM2_ITGAL","ICAM2","intercellular adhesion molecule 2","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","other"
"1336","ICAM2_ITGAM","ICAM2","intercellular adhesion molecule 2","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1337","ICAM2_ITGB2","ICAM2","intercellular adhesion molecule 2","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1338","ICAM3_CLEC4M","ICAM3","intercellular adhesion molecule 3","CLEC4M","C-type lectin domain family 4, member M","other"
"1339","ICAM3_ITGAD","ICAM3","intercellular adhesion molecule 3","ITGAD","integrin, alpha D","other"
"1340","ICAM3_ITGAL","ICAM3","intercellular adhesion molecule 3","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","other"
"1341","ICAM3_ITGB2","ICAM3","intercellular adhesion molecule 3","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1342","ICAM4_ITGA2B","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGA2B","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","other"
"1343","ICAM4_ITGA4","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGA4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","other"
"1344","ICAM4_ITGAL","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","other"
"1345","ICAM4_ITGAM","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1346","ICAM4_ITGAV","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGAV","integrin, alpha V","other"
"1347","ICAM4_ITGB1","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"1348","ICAM4_ITGB2","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1349","ICAM4_ITGB3","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ITGB3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","other"
"1350","ICAM4_RHAG","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","RHAG","Rh-associated glycoprotein","other"
"1351","ICAM5_ITGAL","ICAM5","intercellular adhesion molecule 5, telencephalin","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","other"
"1352","ICAM5_ITGB2","ICAM5","intercellular adhesion molecule 5, telencephalin","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1353","IFNA10_IFNAR1","IFNA10","interferon, alpha 10","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1354","IFNA10_IFNAR2","IFNA10","interferon, alpha 10","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1355","IFNA13_IFNAR1","IFNA13","interferon, alpha 13","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1356","IFNA13_IFNAR2","IFNA13","interferon, alpha 13","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1357","IFNA14_IFNAR1","IFNA14","interferon, alpha 14","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1358","IFNA14_IFNAR2","IFNA14","interferon, alpha 14","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1359","IFNA16_IFNAR1","IFNA16","interferon, alpha 16","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1360","IFNA16_IFNAR2","IFNA16","interferon, alpha 16","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1361","IFNA17_IFNAR1","IFNA17","interferon, alpha 17","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1362","IFNA17_IFNAR2","IFNA17","interferon, alpha 17","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1363","IFNA1_IFNAR1","IFNA1","interferon, alpha 1","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1364","IFNA1_IFNAR2","IFNA1","interferon, alpha 1","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1365","IFNA21_IFNAR1","IFNA21","interferon, alpha 21","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1366","IFNA21_IFNAR2","IFNA21","interferon, alpha 21","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1367","IFNA2_IFNAR1","IFNA2","interferon, alpha 2","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1368","IFNA2_IFNAR2","IFNA2","interferon, alpha 2","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1369","IFNA4_IFNAR1","IFNA4","interferon, alpha 4","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1370","IFNA4_IFNAR2","IFNA4","interferon, alpha 4","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1371","IFNA5_IFNAR1","IFNA5","interferon, alpha 5","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1372","IFNA5_IFNAR2","IFNA5","interferon, alpha 5","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1373","IFNA6_IFNAR1","IFNA6","interferon, alpha 6","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1374","IFNA6_IFNAR2","IFNA6","interferon, alpha 6","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1375","IFNA7_IFNAR1","IFNA7","interferon, alpha 7","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1376","IFNA7_IFNAR2","IFNA7","interferon, alpha 7","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1377","IFNA8_IFNAR1","IFNA8","interferon, alpha 8","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1378","IFNA8_IFNAR2","IFNA8","interferon, alpha 8","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1379","IFNB1_IFNAR1","IFNB1","interferon, beta 1, fibroblast","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1380","IFNB1_IFNAR2","IFNB1","interferon, beta 1, fibroblast","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1381","IFNG_IFNGR1","IFNG","interferon, gamma","IFNGR1","interferon gamma receptor 1","other"
"1382","IFNG_IFNGR2","IFNG","interferon, gamma","IFNGR2","interferon gamma receptor 2 (interferon gamma transducer 1)","other"
"1383","IFNL1_IFNLR1","IFNL1","interferon, lambda 1","IFNLR1","interferon, lambda receptor 1","other"
"1384","IFNL1_IL10RB","IFNL1","interferon, lambda 1","IL10RB","interleukin 10 receptor, beta","other"
"1385","IFNL2_IFNLR1","IFNL2","interferon, lambda 2","IFNLR1","interferon, lambda receptor 1","other"
"1386","IFNL2_IL10RB","IFNL2","interferon, lambda 2","IL10RB","interleukin 10 receptor, beta","other"
"1387","IFNL3_IFNLR1","IFNL3","interferon, lambda 3","IFNLR1","interferon, lambda receptor 1","other"
"1388","IFNL3_IL10RB","IFNL3","interferon, lambda 3","IL10RB","interleukin 10 receptor, beta","other"
"1389","IFNW1_IFNAR1","IFNW1","interferon, omega 1","IFNAR1","interferon (alpha, beta and omega) receptor 1","other"
"1390","IFNW1_IFNAR2","IFNW1","interferon, omega 1","IFNAR2","interferon (alpha, beta and omega) receptor 2","other"
"1391","IGF1_IGF1R","IGF1","insulin-like growth factor 1 (somatomedin C)","IGF1R","insulin-like growth factor 1 receptor","growth factor"
"1392","IGF1_INSR","IGF1","insulin-like growth factor 1 (somatomedin C)","INSR","insulin receptor","growth factor"
"1393","IGF2_IGF1R","IGF2","insulin-like growth factor 2 (somatomedin A)","IGF1R","insulin-like growth factor 1 receptor","growth factor"
"1394","IGF2_IGF2R","IGF2","insulin-like growth factor 2 (somatomedin A)","IGF2R","insulin-like growth factor 2 receptor","growth factor"
"1395","IGF2_INSR","IGF2","insulin-like growth factor 2 (somatomedin A)","INSR","insulin receptor","growth factor"
"1396","IGFBP4_FZD8","IGFBP4","insulin-like growth factor binding protein 4","FZD8","frizzled class receptor 8","growth factor"
"1397","IGFBP4_LRP6","IGFBP4","insulin-like growth factor binding protein 4","LRP6","low density lipoprotein receptor-related protein 6","growth factor"
"1398","IGFL1_IGFLR1","IGFL1","IGF-like family member 1","IGFLR1","IGF-like family receptor 1","growth factor"
"1399","IGFL2_IGFLR1","IGFL2","IGF-like family member 2","IGFLR1","IGF-like family receptor 1","growth factor"
"1400","IGFL3_IGFLR1","IGFL3","IGF-like family member 3","IGFLR1","IGF-like family receptor 1","growth factor"
"1401","IHH_BOC","IHH","indian hedgehog","BOC","BOC cell adhesion associated, oncogene regulated","other"
"1402","IHH_CDON","IHH","indian hedgehog","CDON","cell adhesion associated, oncogene regulated","other"
"1403","IHH_HHIP","IHH","indian hedgehog","HHIP","hedgehog interacting protein","other"
"1404","IHH_PTCH1","IHH","indian hedgehog","PTCH1","patched 1","other"
"1405","IHH_PTCH2","IHH","indian hedgehog","PTCH2","patched 2","other"
"1406","IL10_IL10RA","IL10","interleukin 10","IL10RA","interleukin 10 receptor, alpha","cytokine"
"1407","IL10_IL10RB","IL10","interleukin 10","IL10RB","interleukin 10 receptor, beta","cytokine"
"1408","IL10_SIRPG","IL10","interleukin 10","SIRPG","signal-regulatory protein gamma","cytokine"
"1409","IL11_IL11RA","IL11","interleukin 11","IL11RA","interleukin 11 receptor, alpha","cytokine"
"1410","IL11_IL6ST","IL11","interleukin 11","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","cytokine"
"1411","IL12A_CD28","IL12A","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","CD28","CD28 molecule","cytokine"
"1412","IL12A_IL12RB1","IL12A","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","IL12RB1","interleukin 12 receptor, beta 1","cytokine"
"1413","IL12A_IL12RB2","IL12A","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","IL12RB2","interleukin 12 receptor, beta 2","cytokine"
"1414","IL12B_IL12RB1","IL12B","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","IL12RB1","interleukin 12 receptor, beta 1","cytokine"
"1415","IL12B_IL12RB2","IL12B","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","IL12RB2","interleukin 12 receptor, beta 2","cytokine"
"1416","IL12B_IL23R","IL12B","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","IL23R","interleukin 23 receptor","cytokine"
"1417","IL13_IL13RA1","IL13","interleukin 13","IL13RA1","interleukin 13 receptor, alpha 1","cytokine"
"1418","IL13_IL13RA2","IL13","interleukin 13","IL13RA2","interleukin 13 receptor, alpha 2","cytokine"
"1419","IL13_IL2RG","IL13","interleukin 13","IL2RG","interleukin 2 receptor, gamma","cytokine"
"1420","IL13_IL4R","IL13","interleukin 13","IL4R","interleukin 4 receptor","cytokine"
"1421","IL15_IL15RA","IL15","interleukin 15","IL15RA","interleukin 15 receptor, alpha","cytokine"
"1422","IL15_IL2RA","IL15","interleukin 15","IL2RA","interleukin 2 receptor, alpha","cytokine"
"1423","IL15_IL2RB","IL15","interleukin 15","IL2RB","interleukin 2 receptor, beta","cytokine"
"1424","IL15_IL2RG","IL15","interleukin 15","IL2RG","interleukin 2 receptor, gamma","cytokine"
"1425","IL16_CCR5","IL16","interleukin 16","CCR5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","cytokine"
"1426","IL16_CD4","IL16","interleukin 16","CD4","CD4 molecule","cytokine"
"1427","IL16_GRIN2C","IL16","interleukin 16","GRIN2C","glutamate receptor, ionotropic, N-methyl D-aspartate 2C","cytokine"
"1428","IL16_GRIN2D","IL16","interleukin 16","GRIN2D","glutamate receptor, ionotropic, N-methyl D-aspartate 2D","cytokine"
"1429","IL16_KCNA3","IL16","interleukin 16","KCNA3","potassium voltage-gated channel, shaker-related subfamily, member 3","cytokine"
"1430","IL16_KCND1","IL16","interleukin 16","KCND1","potassium voltage-gated channel, Shal-related subfamily, member 1","cytokine"
"1431","IL16_KCND2","IL16","interleukin 16","KCND2","potassium voltage-gated channel, Shal-related subfamily, member 2","cytokine"
"1432","IL16_KCNJ10","IL16","interleukin 16","KCNJ10","potassium inwardly-rectifying channel, subfamily J, member 10","cytokine"
"1433","IL16_KCNJ15","IL16","interleukin 16","KCNJ15","potassium inwardly-rectifying channel, subfamily J, member 15","cytokine"
"1434","IL16_KCNJ4","IL16","interleukin 16","KCNJ4","potassium inwardly-rectifying channel, subfamily J, member 4","cytokine"
"1435","IL17A_IL17RA","IL17A","interleukin 17A","IL17RA","interleukin 17 receptor A","cytokine"
"1436","IL17A_IL17RC","IL17A","interleukin 17A","IL17RC","interleukin 17 receptor C","cytokine"
"1437","IL17B_IL17RB","IL17B","interleukin 17B","IL17RB","interleukin 17 receptor B","cytokine"
"1438","IL17F_IL17RA","IL17F","interleukin 17F","IL17RA","interleukin 17 receptor A","cytokine"
"1439","IL18_CD48","IL18","interleukin 18 (interferon-gamma-inducing factor)","CD48","CD48 molecule","cytokine"
"1440","IL18_IL18R1","IL18","interleukin 18 (interferon-gamma-inducing factor)","IL18R1","interleukin 18 receptor 1","cytokine"
"1441","IL18_IL18RAP","IL18","interleukin 18 (interferon-gamma-inducing factor)","IL18RAP","interleukin 18 receptor accessory protein","cytokine"
"1442","IL18_IL1RAPL1","IL18","interleukin 18 (interferon-gamma-inducing factor)","IL1RAPL1","interleukin 1 receptor accessory protein-like 1","cytokine"
"1443","IL18_IL1RL2","IL18","interleukin 18 (interferon-gamma-inducing factor)","IL1RL2","interleukin 1 receptor-like 2","cytokine"
"1444","IL19_IL20RA","IL19","interleukin 19","IL20RA","interleukin 20 receptor, alpha","cytokine"
"1445","IL19_IL20RB","IL19","interleukin 19","IL20RB","interleukin 20 receptor beta","cytokine"
"1446","IL1A_IL1R1","IL1A","interleukin 1, alpha","IL1R1","interleukin 1 receptor, type I","cytokine"
"1447","IL1A_IL1R2","IL1A","interleukin 1, alpha","IL1R2","interleukin 1 receptor, type II","cytokine"
"1448","IL1A_IL1RAP","IL1A","interleukin 1, alpha","IL1RAP","interleukin 1 receptor accessory protein","cytokine"
"1449","IL1B_ADRB2","IL1B","interleukin 1, beta","ADRB2","adrenoceptor beta 2, surface","cytokine"
"1450","IL1B_IL1R1","IL1B","interleukin 1, beta","IL1R1","interleukin 1 receptor, type I","cytokine"
"1451","IL1B_IL1R2","IL1B","interleukin 1, beta","IL1R2","interleukin 1 receptor, type II","cytokine"
