ligand,receptor,source,PMIDs
EREG,EGFR,"HPRD,fantom5,IUPHAR,cellsignal.com,HPMR","8,626,392,942"
EREG,ERBB2,"fantom5,reactome",
EREG,ERBB3,fantom5,
EREG,ERBB4,"fantom5,IUPHAR,HPRD",9419975
EXOC3-AS1,TRAF2,"fantom5,HPRD",
F10,F3,"HPRD,fantom5",8702971
F10,ITGAM,fantom5,
F10,ITGB2,fantom5,
F11,GP1BA,"fantom5,HPRD",11696542
F12,CD93,"fantom5,HPRD","11204562,87"
F12,GP1BA,"fantom5,HPRD",10801853
F13A1,ITGA4,fantom5,10816592
F13A1,ITGA9,fantom5,10816592
F13A1,ITGB1,fantom5,10816592
F2,F2R,"HPRD,fantom5,HPMR","113,569,851,064,472,000,000,000,000,000,000,000,000"
F2,F2RL1,"fantom5,HPMR,HPRD","11356985,11"
F2,F2RL2,"fantom5,HPMR,HPRD","11356985,13"
F2,F2RL3,"fantom5,HPMR,HPRD",12732212
F2,GP1BA,"HPRD,fantom5","2933256,11"
F2,GP1BB,fantom5,
F2,GP9,fantom5,2207326
F2,ITGA2B,"fantom5,HPRD",11487023
F2,THBD,"HPRD,fantom5","7,615,164,866,314,710,000,000"
F7,F3,"HPRD,fantom5,HPMR","12787023,99"
F8,ASGR2,"HPRD,fantom5",15946216
F8,LDLR,fantom5,15840700
F8,LRP1,"fantom5,HPMR,HPRD","11560943,13"
F9,LRP1,"HPRD,HPMR,fantom5","11560943,13"
FABP5,RXRA,reactome,
FARP2,PLXNA1,fantom5,
FARP2,PLXNA2,fantom5,
FARP2,PLXNA3,fantom5,
FARP2,PLXNA4,fantom5,
FASLG,FAS,"HPRD,HPMR,IUPHAR,uniprot,fantom5","912,692,992,280,589,000,000"
FASLG,TNFRSF1A,fantom5,
FASLG,TNFRSF6B,"HPRD,HPMR,uniprot,fantom5","1,469,733,210,318,770,000,000,000,000,000"
FAT4,DCHS1,fantom5,"24056717, 21303848"
FBLN1,ITGB1,"fantom5,HPRD",2527614
FBLN2,ITGB3,"fantom5,HPRD",10848816
FBN1,ITGA5,fantom5,20686071
FBN1,ITGAV,fantom5,20686071
FBN1,ITGB1,fantom5,20686071
FBN1,ITGB3,"fantom5,reactome",20686071
FBN1,ITGB6,fantom5,
FCN2,LRP1,fantom5,21054788
FGA,CDH5,"HPRD,fantom5",11900554
FGA,ITGA2B,"fantom5,HPRD",11460491
FGA,ITGA5,fantom5,15031111
FGA,ITGAD,fantom5,
FGA,ITGAM,fantom5,16601240
FGA,ITGAV,fantom5,15031111
FGA,ITGAX,"HPMR,fantom5",4062888
FGA,ITGB1,fantom5,15031111
FGA,ITGB2,"fantom5,HPMR,reactome",4062888
FGA,ITGB3,"fantom5,reactome,HPRD",11460491
FGA,PLAUR,fantom5,
FGA,TLR4,reactome,
FGB,ITGA2B,fantom5,2018974
FGB,ITGA5,fantom5,15031111
FGB,ITGAM,fantom5,16601240
FGB,ITGAV,fantom5,15031111
FGB,ITGB1,fantom5,15031111
FGB,ITGB2,"reactome,fantom5",16601240
FGB,ITGB3,reactome,
FGB,TLR4,reactome,
FGF10,FGFR1,literature,16597617
FGF10,FGFR2,"HPMR,fantom5,literature,HPRD",16597617
FGF11,FGFR1,literature,16597617
FGF11,FGFR2,literature,16597617
FGF11,FGFR3,literature,16597617
FGF11,FGFR4,literature,16597617
FGF12,FGFR1,literature,16597617
FGF12,FGFR2,literature,16597617
FGF12,FGFR3,literature,16597617
FGF12,FGFR4,literature,16597617
FGF13,EGFR,fantom5,
FGF13,FGFR1,literature,16597617
FGF13,FGFR2,literature,16597617
FGF13,FGFR3,literature,16597617
FGF13,FGFR4,literature,16597617
FGF13,SCN5A,fantom5,21817159
FGF13,SCN8A,"HPRD,fantom5",15282281
FGF14,FGFR1,literature,16597617
FGF14,FGFR2,literature,16597617
FGF14,FGFR3,literature,16597617
FGF14,FGFR4,literature,16597617
FGF16,FGFR1,literature,16597617
FGF16,FGFR2,literature,16597617
FGF16,FGFR3,literature,16597617
FGF16,FGFR4,literature,16597617
FGF17,FGFR1,"literature,fantom5,HPRD",16597617
FGF17,FGFR2,"HPRD,literature,fantom5",16597617
FGF17,FGFR3,"HPRD,fantom5,literature",16597617
FGF17,FGFR4,"HPRD,fantom5,literature",16597617
FGF18,FGFR1,"literature,fantom5,HPRD",16597617
FGF18,FGFR2,"literature,fantom5,HPRD",16597617
FGF18,FGFR3,"HPRD,literature,fantom5,HPMR",16597617
FGF18,FGFR4,"HPRD,fantom5,literature",16597617
FGF19,FGFR1,literature,16597617
FGF19,FGFR2,literature,16597617
FGF19,FGFR3,literature,16597617
FGF19,FGFR4,"HPMR,fantom5,literature,HPRD",16597617
FGF19,KLB,fantom5,22442730
FGF1,CD44,fantom5,
FGF1,EGFR,fantom5,
FGF1,FGFR1,"fantom5,literature,HPMR,HPRD",16597617
FGF1,FGFR2,"HPRD,fantom5,literature",16597617
FGF1,FGFR3,"literature,fantom5,HPRD",16597617
FGF1,FGFR4,"HPRD,HPMR,literature,fantom5",16597617
FGF1,FGFRL1,fantom5,
FGF1,NRP1,"HPRD,fantom5",15695515
FGF20,FGFR1,literature,16597617
FGF20,FGFR2,literature,16597617
FGF20,FGFR3,literature,16597617
FGF20,FGFR4,"fantom5,literature","15621532,17"
FGF21,FGFR1,literature,16597617
FGF21,FGFR2,"fantom5,literature",16597617
FGF21,FGFR3,literature,16597617
FGF21,FGFR4,"literature,fantom5","16597617,22"
FGF22,FGFR1,literature,16597617
FGF22,FGFR2,"literature,fantom5,HPMR,reactome",16597617
FGF23,FGFR1,"fantom5,literature,HPMR",16597617
FGF23,FGFR2,"fantom5,literature,HPMR,HPRD,reactome",16597617
FGF23,FGFR3,"HPRD,fantom5,literature",16597617
FGF23,FGFR4,"HPMR,literature,fantom5",16597617
FGF23,PHEX,"fantom5,HPRD",11409890
FGF2,CD44,"fantom5,HPRD",7532176
FGF2,FGFR1,"literature,fantom5,HPRD",16597617
FGF2,FGFR2,"literature,fantom5,HPMR",16597617
FGF2,FGFR3,"HPRD,fantom5,literature,HPMR",16597617
FGF2,FGFR4,"HPRD,HPMR,fantom5,literature",16597617
FGF2,FGFRL1,"fantom5,HPRD",11418238
FGF2,GPC4,"HPRD,fantom5",11066092
FGF2,NRP1,"fantom5,HPRD",15695515
FGF2,SDC1,"HPRD,fantom5",16982797
FGF2,SDC2,"HPRD,fantom5,HPMR","11015614,17"
FGF2,SDC3,"HPRD,fantom5","16982797,83"
FGF2,SDC4,"HPMR,fantom5",9012653
FGF3,FGFR1,"HPMR,literature,fantom5,HPRD",16597617
FGF3,FGFR2,"HPRD,HPMR,fantom5,literature",16597617
FGF3,FGFR3,"HPRD,fantom5",8663044
FGF3,FGFR4,"HPRD,fantom5",8663044
FGF4,FGFR1,"fantom5,literature,HPMR,HPRD",16597617
FGF4,FGFR2,"fantom5,literature,HPMR,HPRD",16597617
FGF4,FGFR3,"HPMR,fantom5,literature,HPRD",16597617
FGF4,FGFR4,"literature,fantom5,HPMR,HPRD",16597617
FGF4,NRP1,"fantom5,HPRD",15695515
FGF5,FGFR1,"HPRD,fantom5,literature,HPMR",16597617
FGF5,FGFR2,"HPRD,HPMR,literature,fantom5",16597617
FGF5,FGFR3,"fantom5,literature,HPRD",16597617
FGF5,FGFR4,"HPRD,HPMR,literature,fantom5",16597617
FGF6,FGFR1,"HPRD,literature,fantom5",16597617
FGF6,FGFR2,"literature,fantom5,HPRD",16597617
FGF6,FGFR3,"HPRD,literature,fantom5",16597617
FGF6,FGFR4,"HPRD,literature,fantom5,HPMR",16597617
FGF6,SDC4,fantom5,
FGF7,FGFR1,"HPRD,literature,fantom5",16597617
FGF7,FGFR2,"HPRD,fantom5,literature,HPMR",16597617
FGF7,FGFR3,"HPRD,fantom5",8663044
FGF7,FGFR4,"HPRD,fantom5",7680645
FGF7,NRP1,"fantom5,HPRD",15695515
FGF8,FGFR1,"HPMR,literature,fantom5,HPRD",16597617
FGF8,FGFR2,"literature,fantom5,HPMR,HPRD",16597617
FGF8,FGFR3,"HPRD,HPMR,literature,fantom5",16597617
FGF8,FGFR4,"HPMR,literature,fantom5,HPRD",16597617
FGF9,FGFR1,"HPRD,literature,fantom5",16597617
FGF9,FGFR2,"literature,fantom5,HPMR,HPRD",16597617
FGF9,FGFR3,"literature,fantom5,HPMR,HPRD",16597617
FGF9,FGFR4,"HPRD,literature,fantom5",16597617
FGG,ITGA2B,fantom5,2018974
FGG,ITGA5,fantom5,15031111
FGG,ITGAV,fantom5,15031111
FGG,ITGB1,fantom5,15031111
FGG,ITGB2,"reactome,fantom5",16601240
FGG,ITGB3,reactome,
FGG,TLR4,reactome,
FGL1,EGFR,fantom5,24768768
FLT3LG,FLT3,"fantom5,IUPHAR,HPMR,HPRD","1,514,795,696,513,580,000,000"
FN1,C5AR1,fantom5,
FN1,CD44,fantom5,1730778
FN1,CD79A,fantom5,
FN1,COL13A1,"fantom5,HPRD",11956183
FN1,FLT4,fantom5,
FN1,IL17RC,fantom5,
FN1,ITGA2,"fantom5,HPMR",7688313
FN1,ITGA2B,"HPMR,fantom5",8663002
FN1,ITGA3,"HPRD,fantom5",9733622
FN1,ITGA4,"HPRD,HPMR,fantom5","9,842,903,110,108,120,000,000"
FN1,ITGA5,"fantom5,HPMR,HPRD","153,257,211,423,542,000,000,000,000,000,000,000,000,000,000"
FN1,ITGA6,fantom5,
FN1,ITGA8,"fantom5,HPMR,HPRD","7,626,807,756"
FN1,ITGA9,fantom5,11839764
FN1,ITGAV,fantom5,23154389
FN1,ITGB1,"reactome,HPRD,HPMR,fantom5","76,268,077,688,313,900,000,000,000,000,000,000,000,000,000"
FN1,ITGB3,"reactome,HPRD,HPMR,fantom5","1,142,354,286,630,020,000,000"
FN1,ITGB6,"HPRD,HPMR,fantom5",1532572
FN1,ITGB7,"fantom5,HPRD",1372909
FN1,ITGB8,"HPMR,fantom5",7542940
FN1,MAG,"fantom5,HPRD",11423128
FN1,NT5E,"fantom5,HPRD","9,361,795,105"
FN1,PLAUR,fantom5,2413022
FN1,ROBO4,fantom5,
FN1,SDC2,"HPRD,fantom5,HPMR",10772816
FN1,TMPRSS6,"HPRD,fantom5",12149247
FN1,TNFRSF11B,"fantom5,HPRD",15799029
FN1,TSHR,"fantom5,HPRD",11981027
FSHB,ADCYAP1R1,reactome,
FSHB,ADRB2,reactome,
FSHB,ADRB3,reactome,
FSHB,FSHR,"fantom5,IUPHAR,HPMR,HPRD","2,126,341,104"
FSHB,GPR20,reactome,
FSHB,GPR84,reactome,
FSHB,PTH1R,reactome,
FSHB,RAMP2,reactome,
FSHB,RAMP3,reactome,
FSHB,TSHR,reactome,
FSHB,VIPR1,reactome,
FST,BMPR1B,fantom5,
FST,BMPR2,fantom5,
FST,HFE2,fantom5,
GAD1,GRM4,"HPMR,fantom5",
GALP,GALR1,"HPMR,fantom5,IUPHAR","10689365,16"
GALP,GALR2,"fantom5,IUPHAR,HPMR","98,321,211,594,400,900,000,000"
GALP,GALR3,"HPMR,IUPHAR,fantom5","9,832,121,159"
GAL,ADRA2A,reactome,
GAL,GALR1,"HPRD,fantom5,IUPHAR,HPMR","106,893,651,148,142,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
GAL,GALR2,"HPRD,HPMR,fantom5,IUPHAR","9,832,121,988,008,490,000,000,000,000,000,000,000,000,000"
GAL,GALR3,"HPMR,fantom5,IUPHAR","983,212,197,225,659,000,000"
GAL,GPR151,"fantom5,HPRD",15111018
GAL,GRM7,reactome,
GAL,MTNR1A,reactome,
GAS6,AXL,"HPRD,HPMR,fantom5,IUPHAR","78,544,208,939,948,800,000,000,000,000"
GAS6,MERTK,"fantom5,IUPHAR,HPMR,HPRD","9,160,883,894"
GAS6,TYRO3,"HPRD,HPMR,fantom5,IUPHAR","7,867,073,893,994,880,000,000,000,000"
GAST,CCKBR,"fantom5,HPMR",7681836
GCG,ADCYAP1R1,reactome,
GCG,ADRB2,reactome,
GCG,ADRB3,reactome,
GCG,GCGR,"IUPHAR,fantom5,HPMR,HPRD","1,252,993,543,050,770,000,000"
GCG,GLP1R,"HPMR,IUPHAR,fantom5,HPRD","8,404,634,793,731,810,000,000,000,000,000,000,000"
GCG,GLP2R,"HPRD,HPMR,fantom5,IUPHAR","9,990,065,117"
GCG,GPR20,reactome,
GCG,GPR84,reactome,
GCG,PTH1R,reactome,
GCG,RAMP2,reactome,
GCG,RAMP3,reactome,
GCG,TSHR,reactome,
GCG,VIPR1,reactome,
GC,LRP2,reactome,
GDF10,ACVR1B,fantom5,
GDF11,ACVR1B,"fantom5,HPMR",12414726
GDF11,ACVR2A,"HPMR,fantom5",12414726
GDF11,ACVR2B,"HPMR,fantom5,HPRD","12414726,17"
GDF11,BMPR1A,uniprot,
GDF11,BMPR1B,uniprot,
GDF11,BMPR2,uniprot,
GDF1,ACVR1B,reactome,
GDF1,ACVR2A,reactome,
GDF1,ACVR2B,reactome,
GDF1,SMAD3,reactome,
GDF2,ACVR1,fantom5,19996292
GDF2,ACVR2A,fantom5,19996292
GDF2,ACVR2B,fantom5,15851468
GDF2,ACVRL1,"fantom5,HPMR",17068149
GDF2,BMPR2,fantom5,15851468
GDF2,ENG,fantom5,7068149
GDF5,ACVR1,"HPRD,fantom5",8702914
GDF5,ACVR2A,"HPRD,fantom5",8702914
GDF5,ACVR2B,"fantom5,HPRD",8702914
GDF5,BMPR1A,"HPRD,uniprot,fantom5","11282024,95"
GDF5,BMPR1B,"HPRD,HPMR,uniprot,fantom5","87,029,141,556,915,400,000,000"
GDF5,BMPR2,"HPRD,HPMR,fantom5","8,702,914,953"
GDF5,ROR2,"fantom5,HPMR",15569154
GDF6,BMPR1A,"HPRD,HPMR,uniprot,fantom5","16049014,95"
GDF6,BMPR1B,"fantom5,uniprot,HPRD",9525338
GDF6,BMPR2,"HPRD,fantom5,HPMR","16049014,95"
GDF7,ACVR2A,"HPMR,fantom5",16049014
GDF7,BMPR1A,"HPMR,fantom5",16049014
GDF7,BMPR2,"HPMR,fantom5",16049014
GDF9,ACVR2A,"HPRD,fantom5",12135884
GDF9,BMPR1A,"HPRD,fantom5","12135884,11"
GDF9,BMPR1B,"HPRD,fantom5",12135884
GDF9,BMPR2,"HPRD,HPMR,fantom5",12135884
GDF9,FXYD6,"HPRD,fantom5",16169070
GDF9,ORAI2,"HPRD,fantom5",16169070
GDF9,TGFBR1,"HPMR,fantom5",14684852
GDNF,EDNRB,fantom5,
GDNF,GFRA1,"HPRD,HPMR,uniprot,fantom5","1,451,467,186,741,170,000,000"
GDNF,GFRA2,"fantom5,HPMR,HPRD,reactome","9,182,803,941"
GDNF,GFRA3,reactome,
GDNF,RET,"HPMR,fantom5,reactome,HPRD","94,821,059,182,803,100,000,000,000,000"
GDNF,SLC44A5,fantom5,
GH1,GHR,"fantom5,IUPHAR,HPMR",7862673
GH1,PRLR,"fantom5,HPRD",9556914
GH2,GHR,"HPRD,IUPHAR,fantom5",1955498
GHRH,ADCYAP1R1,reactome,
GHRH,ADRB2,reactome,
GHRH,ADRB3,reactome,
GHRH,GHRHR,"HPRD,fantom5,HPMR","7,680,413,133"
GHRH,GPR20,reactome,
GHRH,GPR84,reactome,
GHRH,PTH1R,reactome,
GHRH,RAMP2,reactome,
GHRH,RAMP3,reactome,
GHRH,TSHR,reactome,
GHRH,VIPR1,"fantom5,IUPHAR,reactome",8791009
GHRL,GHRHR,"fantom5,HPRD",10461027
GHRL,GHSR,"HPMR,IUPHAR,fantom5,HPRD","10,604,470,159,053,500,000,000,000,000,000,000,000,000,000,000,000,000,000"
GHRL,GPR39,"HPMR,fantom5",16284174
GHRL,MLNR,"fantom5,HPRD",12606621
GIP,ADCYAP1R1,reactome,
GIP,ADRB2,reactome,
GIP,ADRB3,reactome,
GIP,DPP4,fantom5,15655705
GIP,GIPR,"HPRD,IUPHAR,fantom5,HPMR","1,565,570,775,894,260,000,000,000,000,000,000,000"
GIP,GPR20,reactome,
GIP,GPR84,reactome,
GIP,INSR,fantom5,
GIP,PTH1R,reactome,
GIP,RAMP2,reactome,
GIP,RAMP3,reactome,
GIP,TSHR,reactome,
GIP,VIPR1,reactome,
GNAI2,ADCY1,"fantom5,HPRD",2121366
GNAI2,ADCY7,fantom5,
GNAI2,ADCY8,fantom5,
GNAI2,ADCY9,fantom5,
GNAI2,ADORA1,"HPRD,fantom5",11369591
GNAI2,ADRA2A,"fantom5,HPRD",7887906
GNAI2,ADRA2B,"fantom5,HPRD",2169434
GNAI2,AGTR2,"HPRD,fantom5","8,663,053,111"
GNAI2,C5AR1,"HPRD,fantom5",7962171
GNAI2,CAV1,"HPRD,fantom5",8621645
GNAI2,CCR5,"fantom5,HPRD",15251452
GNAI2,CHRM1,"HPRD,fantom5",8190105
GNAI2,CNR1,"fantom5,HPRD",11168387
GNAI2,CXCR1,"HPRD,fantom5","8662698,89"
GNAI2,CXCR2,"HPRD,fantom5",8662698
GNAI2,CXCR3,fantom5,
GNAI2,DRD2,"HPRD,fantom5",10978845
GNAI2,EDNRA,"HPRD,fantom5",7882989
GNAI2,EDNRB,fantom5,
GNAI2,EGFR,"HPRD,fantom5",11286993
GNAI2,F2R,"HPRD,fantom5","10644723,9"
GNAI2,FPR1,"fantom5,HPRD",8663057
GNAI2,IGF1R,"HPRD,fantom5",11120746
GNAI2,LHCGR,"fantom5,HPRD",10493819
GNAI2,LPAR3,"fantom5,HPRD",10727522
GNAI2,MTNR1A,"fantom5,HPRD","10598579,17"
GNAI2,MTNR1B,"fantom5,HPRD",17215244
GNAI2,OPRD1,"HPRD,fantom5",1671672
GNAI2,OPRM1,"HPRD,fantom5",12068084
GNAI2,P2RY12,"HPRD,fantom5",8554519
GNAI2,PTPRU,"HPRD,fantom5",16298104
GNAI2,S1PR1,fantom5,
GNAI2,S1PR3,fantom5,
GNAI2,S1PR4,fantom5,
GNAI2,S1PR5,fantom5,
GNAI2,TBXA2R,fantom5,16212421
GNAI2,TSHR,"HPRD,fantom5",8552586
GNAI2,UNC5B,fantom5,
GNAS,ADCY1,fantom5,
GNAS,ADCY7,fantom5,
GNAS,ADCY8,fantom5,
GNAS,ADCY9,fantom5,
GNAS,ADORA1,"fantom5,HPRD",10521440
GNAS,ADRB3,"HPRD,fantom5",8011597
GNAS,AVPR2,"fantom5,HPRD",8621513
GNAS,CRHR1,"HPRD,fantom5",10598591
GNAS,GCGR,"fantom5,HPRD",1908089
GNAS,GLP1R,fantom5,
GNAS,HTR6,"fantom5,HPRD",11916537
GNAS,LHCGR,"HPRD,fantom5",10493819
GNAS,PTGDR,"HPRD,fantom5",12672054
GNAS,PTGIR,"HPRD,fantom5",12488443
GNAS,TSHR,"fantom5,HPRD",9525885
GNAS,VIPR1,"HPRD,fantom5",11812005
GNB3,GABBR2,fantom5,
GNB3,TGFBR1,"HPRD,fantom5",15761153
GNRH1,GNRHR,"HPRD,HPMR,fantom5,IUPHAR","4,144,731,745,233,810,000,000,000,000,000,000,000"
GNRH2,GNRHR,"fantom5,IUPHAR","174,523,381,794,274,000,000,000"
GPC3,CD81,fantom5,23665349
GPC3,IGF1R,fantom5,18413366
GPC3,LRP1,reactome,
GPC3,LRP2,reactome,
GPC6,LRP1,reactome,
GPC6,LRP2,reactome,
GPHA2,TSHR,"HPMR,fantom5",12045258
GPI,AMFR,"fantom5,HPMR,HPRD","12527360,17"
GREM1,KDR,fantom5,
GRP,BRS3,fantom5,11112777
GRP,GRPR,"fantom5,IUPHAR,HPMR,HPRD","1,720,612,783,811,810,000,000,000,000,000,000,000"
GRP,NMBR,fantom5,10545285
GSTP1,TRAF2,"HPRD,fantom5,HPMR",16636664
GUCA2A,GUCY2C,"HPRD,HPMR,fantom5","108,451,071,060,186,000,000,000"
GUCA2B,GUCY2C,"HPMR,fantom5",10845107
GUCA2B,GUCY2D,"HPRD,fantom5",9698373
GZMB,CHRM3,"fantom5,HPRD",11665980
GZMB,IGF2R,"HPMR,fantom5,HPRD",11081635
GZMB,PGRMC1,fantom5,
HAS2,CD44,"fantom5,HPMR",1694723
HAS2,HMMR,"fantom5,HPMR",1376732
HBEGF,CD44,"HPRD,fantom5",7532176
HBEGF,CD82,"HPRD,fantom5",10749879
HBEGF,CD9,"fantom5,HPRD","193,910,111,735,113,000,000,000,000,000"
HBEGF,EGFR,"HPRD,HPMR,cellsignal.com,IUPHAR,fantom5",12725245
HBEGF,ERBB2,"reactome,fantom5",12958167
HBEGF,ERBB4,"fantom5,IUPHAR,HPMR,HPRD","1,840,698,914"
HBEGF,PRLR,fantom5,
HCRT,HCRTR1,"fantom5,IUPHAR,HPMR,HPRD","94,918,971,049,882,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
HCRT,HCRTR2,"HPRD,HPMR,IUPHAR,fantom5","949,189,712,702,704,000,000,000,000,000,000,000,000"
HCRT,NPFFR2,"fantom5,HPRD",12609745
HDC,HRH1,"fantom5,HPMR",
HDC,HRH2,"fantom5,HPMR",
HDC,HRH3,"fantom5,HPMR",
HDC,HRH4,"fantom5,HPMR",
HEBP1,ADRA2A,reactome,
HEBP1,FPR3,"IUPHAR,fantom5",15623572
HEBP1,GRM7,reactome,
HEBP1,MTNR1A,reactome,
HGF,CD44,fantom5,10037743
HGF,ITGB1,reactome,
HGF,MET,"HPRD,HPMR,IUPHAR,uniprot,fantom5","184,670,616,554,051,000,000,000,000,000"
HGF,SDC1,"HPRD,fantom5",11830493
HGF,SDC2,"fantom5,HPRD",8157651
HGF,ST14,"HPRD,fantom5","12372819,11"
HHIPL2,CACHD1,fantom5,
HHLA3,CHRM3,fantom5,
HLA-A,APLP2,"fantom5,HPRD",19184004
HLA-A,CD3D,fantom5,
HLA-A,CD3G,fantom5,
HLA-A,ERBB2,"fantom5,HPRD",10593938
HLA-A,KIR2DL1,fantom5,
HLA-A,KIR2DL3,fantom5,
HLA-A,KIR3DL1,fantom5,17182537
HLA-A,KIR3DL2,"fantom5,HPMR,HPRD","1,571,902,486,179,280,000,000"
HLA-A,LILRB1,"HPRD,fantom5",12897781
HLA-A,LILRB2,"HPRD,fantom5","12853576,95"
HLA-B,CANX,fantom5,7876141
HLA-B,CD3D,fantom5,
HLA-B,CD3G,fantom5,
HLA-B,KIR2DL3,fantom5,
HLA-B,KIR3DL1,"fantom5,HPMR,HPRD","15607823,8"
HLA-B,KLRD1,"HPRD,fantom5",8046333
HLA-B,LILRB1,"HPRD,fantom5",12853576
HLA-B,LILRB2,"HPRD,fantom5","12853576,95"
HLA-C,CD3D,fantom5,
HLA-C,CD3G,fantom5,
HLA-C,DDR1,fantom5,
HLA-C,KIR2DL1,"HPMR,fantom5,HPRD","1,560,782,310,429,670,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
HLA-C,KIR2DL3,"fantom5,HPMR,HPRD","156,078,238,692,965,000,000,000,000,000"
HLA-C,KIR2DS4,"HPRD,HPMR,fantom5","15265913,95"
HLA-C,KIR3DL1,fantom5,
HLA-C,LILRA3,fantom5,21270408
HLA-C,LILRB1,"HPRD,fantom5",12853576
HLA-C,LILRB2,"fantom5,HPRD",12853576
HLA-C,NOTCH4,fantom5,
HLA-C,SLC9C2,fantom5,
HLA-E,KIR3DL1,fantom5,
HLA-E,KLRC1,"HPRD,fantom5,HPMR",9486650
HLA-E,KLRC2,"HPRD,HPMR,fantom5","9486650,91"
HLA-E,KLRD1,"HPRD,HPMR,fantom5","948,665,014,734,748,000,000,000,000,000,000,000"
HLA-E,SLC16A4,fantom5,
HLA-G,CD4,fantom5,
HLA-G,KIR2DL4,"HPRD,HPMR,fantom5",10190900
HLA-G,KLRC1,"HPMR,fantom5",9295021
HLA-G,KLRD1,"fantom5,HPMR,HPRD","9405670,93"
HLA-G,LILRB1,"HPRD,fantom5,HPMR","1,571,828,099,331,090,000,000,000,000,000"
HLA-G,LILRB2,"fantom5,HPRD","1,285,357,615,670,970,000,000,000,000,000"
HMGB1,SDC1,fantom5,1369684
HMGB1,THBD,fantom5,15841214
HMGB1,TLR4,reactome,
HPX,LRP1,reactome,
HP,ASGR1,fantom5,
HP,ASGR2,fantom5,
HP,ITGAM,"HPRD,fantom5",11967116
HP,ITGB2,"fantom5,HPRD",11967116
HRAS,AGTR1,"fantom5,HPRD",8753867
HRAS,CAV1,"HPRD,fantom5",8621645
HRAS,GRIN2D,"fantom5,HPRD",10862698
HRAS,INSR,"HPRD,fantom5",3109943
HRAS,SDC2,fantom5,
HRAS,TLR2,"HPRD,fantom5",15496409
HRAS,TLR9,"HPRD,fantom5",12867418
HRG,FCGR1A,"HPRD,fantom5",10421785
HSP90AA1,CFTR,fantom5,9843494
HSP90AA1,EGFR,fantom5,18199556
HSP90AA1,ERBB2,reactome,
HSP90AA1,FGFR3,fantom5,21487019
HSP90AA1,ITGB3,reactome,
HSP90B1,ASGR1,"HPRD,fantom5",
HSP90B1,ERBB2,"fantom5,HPRD",
HSP90B1,LRP1,"fantom5,HPMR,HPRD",
HSP90B1,TLR1,"fantom5,HPRD",
HSP90B1,TLR2,"fantom5,HPRD",
HSP90B1,TLR4,"HPRD,fantom5",
HSP90B1,TLR7,"fantom5,reactome",
HSP90B1,TLR9,fantom5,
HSPA1A,GRIN2D,"fantom5,HPRD",
HSPA1A,TLR4,fantom5,22528050
HSPA8,ADRB2,reactome,
HSPA8,LDLR,reactome,
HSPA8,LRP2,reactome,
HSPG2,CHRM3,fantom5,
HSPG2,COL13A1,"HPRD,fantom5",11956183
HSPG2,ITGA2,"HPRD,fantom5",15240572
HSPG2,ITGB1,"reactome,HPRD,fantom5",9431988
HSPG2,LRP1,reactome,
HSPG2,LRP2,reactome,
HSPG2,PTPRS,"HPMR,fantom5",11865065
HSPG2,SDC1,fantom5,
IAPP,ADCYAP1R1,reactome,
IAPP,ADRB2,reactome,
IAPP,ADRB3,reactome,
IAPP,CALCR,"fantom5,IUPHAR,HPMR","12,529,937,948,798,700,000,000"
IAPP,GPR20,reactome,
IAPP,GPR84,reactome,
IAPP,PTH1R,reactome,
IAPP,RAMP1,"fantom5,HPRD",10385705
IAPP,RAMP2,"fantom5,HPRD,reactome",16531504
IAPP,RAMP3,"fantom5,reactome",
IAPP,TSHR,reactome,
IAPP,VIPR1,reactome,
IBSP,ITGAV,fantom5,
IBSP,ITGB3,reactome,
ICAM1,CAV1,fantom5,
ICAM1,EGFR,"HPRD,fantom5",16799092
ICAM1,IL2RA,"fantom5,HPRD",1976256
ICAM1,IL2RG,"fantom5,HPRD",1976256
ICAM1,ITGAL,"fantom5,HPMR",14507735
ICAM1,ITGAM,"HPRD,fantom5","11073102,95"
ICAM1,ITGAX,"fantom5,HPMR",4062888
ICAM1,ITGB2,"uniprot,fantom5,HPMR,HPRD","145,077,354,062,888,000,000,000,000,000"
ICAM2,ITGAL,"HPMR,fantom5",15023143
ICAM2,ITGAM,"HPRD,fantom5",10352278
ICAM2,ITGB2,"HPMR,uniprot,fantom5,HPRD","15023143,98"
ICAM3,CLEC4M,"fantom5,HPRD",11257134
ICAM3,ITGAD,"fantom5,HPRD",8777714
ICAM3,ITGAL,"HPRD,fantom5,HPMR","157,283,501,135,382,000,000,000"
ICAM3,ITGB2,"HPRD,fantom5,uniprot,HPMR","15,728,350,113,538,200,000,000"
ICAM4,ITGA2B,"fantom5,HPMR",15355350
ICAM4,ITGA4,"HPRD,fantom5",11435317
ICAM4,ITGAL,"fantom5,HPMR",15355350
ICAM4,ITGAM,"HPRD,fantom5,HPMR","15355350,11"
ICAM4,ITGAV,"HPMR,fantom5,HPRD","15355350,11"
ICAM4,ITGB1,"HPRD,fantom5",11435317
ICAM4,ITGB2,"HPMR,fantom5,reactome,HPRD","15355350,11"
